doy,hourlyPrecipRateGC_mean
1,2.355
2,4.336
3,8.976
4,0.818
5,3.742
6,1.039
7,2.825
8,15.325
9,21.064
10,2.635
11,8.045
12,2.15
13,5.393
14,1.627
15,0.75
16,1.481
17,0.671
18,0.017
19,0.434
20,3.919
21,6.167
22,0.012
23,0.024
24,0.023
25,0.01
26,0
27,0.013
28,0.112
29,1.096
30,0.133
31,0.156
32,0.025
33,0.064
34,0.931
35,1.523
36,7.395
37,6.472
38,1.911
39,0.005
40,0
41,0
42,0.03
43,0.529
44,0.76
45,6.588
46,2.921
47,11.51
48,1.785
49,2.749
50,0.332
51,0.632
52,0.205
53,0.031
54,0
55,0.109
56,6.301
57,0.004
58,0.378
59,2.843
60,1.148
61,0.143
62,0.022
63,0.437
64,2.026
65,8.935
66,2.897
67,3.342
68,5.742
69,0.014
70,0.004
71,0.69
72,5.874
73,8.853
74,5.479
75,0.578
76,0.033
77,0.497
78,0.88
79,0.015
80,0.021
81,0.036
82,0.038
83,0.015
84,0.003
85,0.025
86,0.22
87,3.738
88,1.287
89,4.156
90,0.397
91,2.958
92,0.002
93,0.007
94,0.966
95,5.194
96,0.412
97,0.273
98,0.832
99,0.198
100,1.786
101,0.587
102,0.609
103,0.075
104,0.004
105,0.004
106,0.015
107,0.048
108,0.012
109,0.737
110,0.491
111,0.052
112,0.002
113,0
114,0.034
115,0.081
116,0.007
117,0.006
118,0.004
119,1.601
120,10.865
121,6.28
122,23.899
123,18.773
124,7.494
125,1.615
126,2.968
127,1.889
128,0.256
129,2.313
130,0.055
131,1.616
132,1.185
133,0.032
134,0.182
135,12.965
136,3.046
137,0.087
138,0.015
139,0.822
140,3.842
141,2.223
142,1.795
143,4.616
144,1.051
145,0.258
146,1.056
147,0.093
148,0.294
149,0.032
150,1.088
151,4.132
152,22.562
153,9.125
154,2.453
155,0.881
156,5.632
157,6.553
158,3.765
159,4.777
160,6.172
161,10.144
162,22.952
163,5.346
164,3.657
165,4.143
166,1.507
167,1.519
168,2.304
169,5.09
170,16.933
171,37.278
172,3.425
173,2.287
174,6.211
175,17.813
176,11.408
177,17.697
178,0.414
179,2.07
180,2.521
181,1.023
182,0.147
183,1.87
184,0.419
185,2.265
186,1.888
187,3.649
188,0.475
189,6.412
190,6.124
191,0.188
192,0.349
193,3.602
194,14.809
195,12.4
196,0.442
197,0.433
198,1.435
199,0.847
200,0.873
201,3.866
202,5.686
203,2.234
204,5.068
205,2.767
206,3.086
207,0.875
208,1.167
209,2.219
210,0.951
211,1.351
212,1.302
213,6.677
214,9.692
215,3.137
216,7.491
217,33.611
218,6.048
219,0.673
220,0.227
221,4.408
222,1.376
223,0.609
224,3.63
225,0.561
226,3.7
227,6.054
228,4.479
229,1.623
230,2.009
231,2.277
232,0.461
233,0.237
234,2.41
235,0.78
236,0.235
237,1.112
238,2.806
239,3.782
240,6.622
241,5.423
242,1.308
243,11.338
244,5.986
245,1.896
246,1.327
247,0.895
248,3.027
249,4.752
250,4.468
251,8.354
252,6.037
253,8.508
254,4.449
255,10.383
256,1.792
257,4.555
258,8.756
259,2.024
260,1.358
261,1.314
262,1.206
263,8.739
264,12.014
265,8.708
266,7.757
267,11.184
268,33.486
269,40.097
270,4.201
271,1.495
272,4.059
273,1.042
274,9.077
275,15.692
276,1.451
277,0.588
278,0.723
279,0.219
280,4.404
281,13.054
282,7.006
283,13.021
284,5.071
285,9.993
286,6.28
287,4.539
288,8.968
289,14.59
290,41.087
291,22.237
292,24.835
293,23.359
294,8.719
295,2.8
296,25.941
297,11.392
298,16.072
299,4.725
300,0.953
301,1.616
302,10.019
303,7.501
304,0.304
305,0.574
306,0.848
307,7.351
308,9.571
309,16.42
310,2.007
311,1.403
312,0.908
313,1.791
314,6.079
315,2.99
316,7.982
317,6.805
318,17.944
319,7.444
320,12.238
321,2.588
322,21.437
323,12.456
324,11.595
325,1.471
326,0.833
327,0.565
328,2.43
329,6.597
330,26.827
331,8.743
332,2.876
333,0.221
334,1.682
335,22.69
336,3.882
337,1.575
338,5.196
339,5.944
340,1.849
341,1.851
342,1.367
343,2.174
344,1.878
345,0.729
346,7.321
347,6.91
348,9.794
349,5.534
350,0.541
351,2.024
352,1.347
353,11.43
354,19.602
355,3.759
356,7.199
357,0.319
358,0.325
359,5.399
360,0.796
361,3.219
362,4.679
363,4.329
364,3.525
365,2.176
366,4.427
